Id,Label,hh_size,modularity_class,hh_id,gender,role,age,degree,freq_home,freq_work,freq_school,freq_kindergarden,freq_transport,freq_leisure,freq_grandparents,freq_other,freq_betweenhh,prop_home,prop_work,prop_school,prop_kindergarden,prop_transport,prop_leisure,prop_grandparents,prop_other,diversityloc,diversityhhmember,pers_touch,tot_dur,avg_dur
1008,44149200001,4,12,441492,1,father,43,9,3,0,0,0,0,0,0,6,3,0.333333,0,0,0,0,0,0,0.666667,0.507937,0.888889,5,33,3.666667
1009,44149200002,4,14,441492,1,child,13,8,3,0,0,0,0,0,0,5,3,0.375,0,0,0,0,0,0,0.625,0.535714,0.9375,5,31,3.875
1010,44149200003,4,7,441492,0,child,10,11,3,0,0,0,0,0,2,6,3,0.272727,0,0,0,0,0,0.181818,0.545455,0.680047,0.793388,5,43,3.909091
1011,447012,3,9,447012,0,mother,39,13,3,0,0,0,3,7,0,1,2,0.230769,0,0,0,0.230769,0.538462,0,0.076923,0.746356,0.52071,5,41,3.153846
1012,44701200001,3,12,447012,1,father,36,4,4,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,3,15,3.75
1013,44701200002,3,13,447012,0,child,9,42,3,0,25,0,0,0,0,14,2,0.071429,0,0.595238,0,0,0,0,0.333333,0.605118,0.181406,7,186,4.428571
1014,4678670,3,12,4678670,1,father,38,2,2,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,2,9,4.5
1015,4.67867E+11,3,12,4678670,0,mother,34,9,2,0,0,0,1,5,0,1,2,0.222222,0,0,0,0.111111,0.555556,0,0.111111,0.705467,0.691358,2,25,2.777778
1016,4.67867E+11,3,10,4678670,0,child,3,2,2,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,2,10,5
1017,4793,4,12,4793,0,mother,42,7,3,0,0,0,1,2,0,1,3,0.428571,0,0,0,0.142857,0.285714,0,0.142857,0.793003,0.979592,4,25,3.571429
1018,479300001,4,12,4793,1,father,41,8,3,0,0,0,0,2,0,3,3,0.375,0,0,0,0,0.25,0,0.375,0.75,0.9375,5,25,3.125
1019,479300002,4,13,4793,1,child,13,22,3,0,15,0,2,2,0,0,3,0.136364,0,0.681818,0,0.090909,0.090909,0,0,0.571429,0.471074,7,88,4
1020,479300003,4,13,4793,1,child,10,36,3,0,30,0,0,0,2,2,3,0.083333,0,0.833333,0,0,0,0.055556,0.055556,0.377335,0.305556,23,140,3.888889
1021,482513,5,16,482513,1,father,35,10,4,2,3,0,0,0,0,1,4,0.4,0.2,0.3,0,0,0,0,0.1,0.8,0.96,4,27,2.7
1022,48251300001,5,2,482513,0,mother,39,10,4,6,0,0,0,0,0,0,4,0.4,0.6,0,0,0,0,0,0,0.548571,0.96,4,41,4.1
1023,48251300002,5,13,482513,0,child,12,14,4,0,10,0,1,0,0,0,4,0.285714,0,0.714286,0,0.071429,0,0,0,0.548571,0.816327,5,59,4.214286
1024,48251300003,5,13,482513,1,child,10,21,3,0,12,0,3,0,0,6,3,0.142857,0,0.571429,0,0.142857,0,0,0.285714,0.75,0.489796,14,92,4.380952
1025,48251300004,5,13,482513,0,child,8,13,4,0,9,0,2,0,0,1,4,0.307692,0,0.692308,0,0.153846,0,0,0.076923,0.6875,0.852071,9,60,4.615385
1026,4845,3,9,4845,1,father,27,12,2,0,0,0,0,3,0,7,2,0.166667,0,0,0,0,0.25,0,0.583333,0.650794,0.555556,7,34,2.833333
1027,484500001,3,2,4845,0,mother,29,19,2,13,0,0,4,0,0,0,2,0.105263,0.684211,0,0,0.210526,0,0,0,0.544519,0.376731,4,55,2.894737
