Id,Label,timeset,size,density,avgdistance,diameter,youngestchild,oldestchild,agechildren_med,hh_size,children,modularity_class
229,207475,,25,0.11,2.36,3,10,10,10,4,1,2
230,2109526,,21,0.1,2.333333,3,6,6,6,2,1,3
231,213625,,46,0.052174,2.556522,2.8,3,6,4.5,4,2,3
232,215529,,99,0.021645,2.389647,2.9,11,19,16,5,3,2
233,221758,,32,0.080645,2.469758,2.7,11,13,12,4,2,1
234,2255669,,80,0.030063,2.675,2.4,9,15,11,5,3,2
235,2325729,,63,0.036354,2.621096,2.8,11,16,13.5,4,2,3
236,2398180,,72,0.031299,2.624804,3,9,16,12.5,4,2,1
237,2435783,,5,1.3,1.3,1.2,10,12,11,4,2,0
238,2439480,,7,0.47619,1.666667,1.2,11,11,11,3,1,3
239,2452344,,8,0.285714,2.071429,3,13,13,13,2,1,0
240,2470798,,119,0.018089,2.607748,2.6,12,15,13.5,4,2,2
241,2484669,,10,0.377778,2,2.8,7,12,9.5,4,2,3
242,255230,,147,0.015003,2.489086,2.9,6,15,10.5,6,4,1
243,272791,,13,0.358974,1.935897,2.3,12,21,18,5,3,0
244,274046,,117,0.01842,2.625847,3,5,7,6,4,2,3
245,285152,,63,0.035842,2.581157,2.8,6,9,7.5,4,2,3
246,2874689,,108,0.021288,2.702838,2.7,4,8,6,5,3,1
247,293473,,104,0.019791,2.613704,3,11,11,11,3,1,3
248,2991872,,25,0.086667,2.74,3.6,6,9,7.5,3,2,0
249,30185177,,18,0.111111,2.281046,2,9,9,9,2,1,2
250,30185312,,99,0.022057,2.536384,2.9,12,13,12.5,4,2,0
251,30185456,,110,0.020851,2.621351,3,9,15,13,5,3,3
252,30185480,,66,0.034499,2.536597,2.8,9,11,10,4,2,3
253,30185514,,65,0.031731,2.633173,3.8,9,13,11,4,2,2
254,30185749,,34,0.074866,2.500891,2.8,5,11,8,4,2,3
255,3042290,,52,0.045249,2.542232,3,6,7,6.5,4,2,1
256,318752,,11,0.345455,2.072727,2.6,12,14,13,4,2,1
257,339803,,267,0.007603,2.646701,2.9,5,7,6,3,2,3
258,3491228,,79,0.027588,2.853619,4,3,5,4,4,2,2
259,3686261,,22,0.108225,2.419913,2.8,4,4,4,3,1,3
260,3825,,67,0.037087,2.658978,3,8,11,10,5,3,2
261,4050797,,12,0.212121,2.045455,2.1,1,1,1,3,1,3
262,4057951,,32,0.070565,2.439516,2.9,1,1,1,3,1,2
263,4172139,,22,0.108225,2.385281,1.7,8,10,9,3,2,3
264,4245014,,15,0.171429,2.285714,2.8,12,12,12,3,1,2
265,4334509,,36,0.060317,2.47619,2.7,8,8,8,3,1,0
266,4371799,,57,0.037594,2.56015,2.5,8,8,8,3,1,3
267,4372152,,39,0.05668,2.496626,2.7,1,1,1,3,1,1
268,441492,,41,0.059756,2.508537,2.6,10,13,11.5,4,2,3
269,447012,,56,0.038312,2.315584,2.8,9,9,9,3,1,2
270,4678670,,10,0.288889,1.777778,1.3,3,3,3,3,1,1
271,4793,,65,0.035096,2.503846,2.7,10,13,11.5,4,2,3
272,482513,,54,0.047519,2.596087,2.4,8,12,10,5,3,2
273,4845,,34,0.065954,2.434938,3,0,0,0,3,1,0
274,487509,,9,0.333333,2,2.3,0,0,0,3,1,0
275,4897338,,99,0.0235,2.668934,3,9,15,13,5,3,0
276,5245145,,25,0.11,2.403333,2.1,3,5,4,4,2,0
277,5245419,,57,0.040727,2.609649,2.8,6,12,9,4,2,1
278,5347805,,74,0.032951,2.556461,3,0,4,2,5,3,2
279,543398,,11,0.2,2.072727,2.8,4,4,4,2,1,0
280,5461565,,43,0.056478,2.569214,3,1,6,3.5,4,2,3
281,5559980,,90,0.024469,2.603995,3,8,10,9,4,2,0
282,5928624,,81,0.027469,2.632407,2.9,4,7,5.5,4,2,2
283,5956252,,50,0.043265,2.527347,2.8,12,12,12,3,1,0
284,5957632,,31,0.083871,2.363441,2.9,2,6,4,4,2,3
285,6141979,,108,0.021288,2.676012,3,3,11,8,5,3,3
286,614776,,47,0.050879,2.573543,3,8,15,11.5,4,2,0
287,6192076,,50,0.044898,2.554286,3.8,3,6,4.5,4,2,2
288,6323991,,19,0.19883,2.052632,2.9,5,19,17,5,3,0
289,6540209,,31,0.083871,2.451613,2.8,7,9,8,4,2,1
290,662350,,105,0.020696,2.601282,3,2,2,2,4,2,0
291,680606,,18,0.169935,2.261438,2.6,4,6,5,4,2,3
292,7200106,,110,0.019683,2.648707,3,9,12,10.5,4,2,2
293,723543,,75,0.02991,2.638198,3,10,10,10,4,2,3
294,726871,,35,0.072269,2.084034,2.8,6,11,8.5,4,2,3
295,7336623,,75,0.02991,2.598919,3,12,14,13,4,2,2
296,751825,,37,0.067568,2.54955,2.8,1,1,1,4,2,2
297,7566022,,50,0.047347,2.585306,3,11,13,12,4,2,3
298,7583935,,23,0.150198,2.367589,2.8,12,16,16,5,3,3
299,7737833,,64,0.031746,2.266369,2.8,12,12,12,2,1,3
300,8103139,,43,0.050941,2.470653,3,3,3,3,3,1,1
301,8210421,,123,0.018393,2.655205,2.8,8,14,12,5,3,1
302,8269554,,99,0.021851,2.602762,3,11,14,12.5,4,2,1
303,8345283,,19,0.111111,2.140351,2,5,5,5,2,1,1
304,8400705,,45,0.053535,2.558586,3,3,6,4.5,4,2,0
305,8516142,,46,0.052174,2.553623,2.9,2,7,4.5,4,2,1
306,8569908,,62,0.037017,2.58752,2.8,8,12,10,4,2,2
307,892028,,56,0.041558,2.474675,2.7,2,4,3,4,2,0
308,932792,,102,0.022714,2.635993,2.8,4,9,8,5,3,0
309,9352632,,34,0.065954,2.463458,3,3,3,3,3,1,2
310,9352642,,97,0.022552,2.60567,3,2,4,3,4,2,3
311,9447989,,58,0.044162,2.6219,2.6,8,12,10,5,3,2
312,9571866,,17,0.183824,2.316176,3,0,3,1.5,4,2,1
313,9654869,,81,0.035185,2.61821,2.8,0,26,23,7,5,1
314,9749638,,53,0.044267,2.53701,2.6,9,12,10.5,4,2,3
315,9762167,,64,0.035714,2.61756,3,2,5,3.5,4,2,3
316,9904363,,67,0.03166,2.505654,2.9,4,6,5,3,2,0
317,9935357,,12,0.30303,2.045455,2.8,11,20,15.5,4,2,0
