Id,Label,timeset,touch,frequency,duration,loc_home,loc_work,loc_school,loc_kindergarden,loc_transport,loc_leisure,loc_grandparents,loc_other,loc_missing,betweenhhmembers,weight,person1,person2,household,sourcerole,targetrole,relation,modularity_class
479,,,1,1,5,1,0,0,0,0,0,0,0,0,1,1,2003742500003,2003742500001,20037425,child,father,F-C,1
480,,,0,1,2,1,0,0,0,0,0,0,0,0,1,0.2,2006652300002,2006652300001,20066523,child,child,siblings,1
481,,,0,1,5,0,0,0,1,1,0,0,0,0,1,0.5,2003553200003,2003553200001,20035532,child,father,F-C,0
482,,,1,1,5,1,0,0,0,0,0,0,0,0,1,1,27279100004,272791,272791,child,father,F-C,1
483,,,1,1,3,1,0,0,0,0,0,0,0,0,1,0.8,482513,48251300004,482513,father,child,F-C,1
484,,,1,1,5,1,0,0,0,0,0,0,0,0,1,1,2470798,247079800003,2470798,father,child,F-C,1
485,,,1,1,5,1,0,0,0,1,1,0,0,0,1,1,3018574900001,3018574900003,30185749,father,child,F-C,1
486,,,1,1,5,1,0,0,0,0,1,0,1,0,1,1,2006786400001,2006786400003,20067864,mother,child,M-C,1
487,,,1,1,5,1,0,0,0,0,1,0,1,0,1,1,2006786400001,20067864,20067864,mother,father,M-F,1
488,,,1,1,5,1,0,0,0,0,0,0,0,0,1,1,48750900001,487509,487509,mother,father,M-F,1
489,,,1,1,5,1,0,0,0,0,0,0,0,0,1,1,21552900001,21552900004,215529,father,child,F-C,1
490,,,1,1,5,1,0,0,0,0,0,0,0,0,1,1,2006241200001,20062412,20062412,father,mother,M-F,1
491,,,1,1,5,1,0,0,0,0,0,0,0,0,1,1,2005640700003,20056407,20056407,child,father,F-C,1
492,,,1,1,5,1,0,0,0,0,0,0,0,0,1,1,20033390,2003339000001,20033390,father,mother,M-F,1
493,,,1,1,5,1,0,0,0,0,0,0,0,0,1,1,2006046500002,20060465,20060465,child,father,F-C,1
494,,,1,1,5,1,0,0,0,0,0,0,0,0,1,1,2005607300003,2005607300004,20056073,child,child,siblings,1
495,,,1,1,0,1,0,0,0,0,0,0,0,0,1,0,21362500001,21362500003,213625,father,child,F-C,1
496,,,1,5,1,1,0,0,0,0,0,0,0,0,1,0.6,2003526600002,2003526600001,20035266,child,mother,M-C,0
497,,,1,1,3,1,0,0,0,0,0,0,0,0,1,0.8,2003346300001,2003346300004,20033463,mother,child,M-C,1
498,,,1,1,5,1,0,0,0,0,1,0,0,0,1,1,272791,27279100004,272791,father,child,F-C,1
499,,,1,1,4,1,0,0,0,0,0,0,0,0,1,0.9,2003743400002,20037434,20037434,child,father,F-C,1
