Id,Label,timeset,person1,person2,touch,frequency,duration,loc_home,loc_work,loc_school,loc_kindergarden,loc_transport,loc_leisure,loc_grandparents,loc_other,loc_missing,betweenhhmembers,household,weight,modularity_class
223,,,20056208,3018574901928,0,1,2,0,1,0,0,0,0,0,0,0,0,20056208,0.2,9
224,,,2005701500004,3018574910671,0,1,4,0,0,1,0,0,0,0,0,0,0,20057015,0.4,7
225,,,2008695400001,3018574914748,1,2,4,0,1,0,0,0,0,0,0,0,0,20086954,0.9,11
226,,,4372152,3018574900758,0,5,1,0,1,0,0,0,0,0,0,0,0,4372152,0.1,9
227,,,20089496,3018574903665,1,3,2,0,0,0,0,0,1,0,0,0,0,20089496,0.7,2
228,,,20064084,3018574903106,0,4,1,1,0,0,0,0,0,0,0,0,0,20064084,0.1,1
229,,,20063671,2006367100002,1,1,5,1,0,0,0,0,1,0,1,0,1,20063671,1,2
230,,,2003755900003,20037559,1,1,5,1,0,0,0,0,0,0,0,0,1,20037559,1,10
231,,,2006260500002,3018574912581,1,2,4,1,0,0,0,0,0,0,0,0,0,20062605,0.9,14
232,,,20059651,3018574902587,0,3,2,0,0,0,0,0,0,0,1,0,0,20059651,0.2,1
233,,,20035818,2003581800001,1,1,5,1,0,0,0,0,0,0,0,0,1,20035818,1,10
234,,,4371799,3018574900738,0,2,1,0,1,0,0,0,0,0,0,0,0,4371799,0.1,9
235,,,2009014400002,3018574915257,0,1,5,0,0,1,0,0,0,0,0,0,0,20090144,0.5,7
236,,,856990800001,3018574907586,0,1,2,0,1,0,0,0,0,0,0,0,0,8569908,0.2,9
237,,,2003361400002,3018574908767,0,3,2,0,0,0,0,0,0,0,1,0,0,20033614,0.2,1
238,,,2003742300001,3018574909635,0,3,3,1,0,0,0,0,0,0,0,0,0,20037423,0.3,1
239,,,2008415000004,3018574914651,0,5,2,0,0,1,0,0,0,0,0,0,0,20084150,0.2,8
240,,,2006048900002,3018574911995,0,1,1,1,0,0,0,0,0,0,0,0,0,20060489,0,1
241,,,2003634000005,3018574909573,1,3,3,1,0,0,0,0,0,0,0,0,0,20036340,0.8,14
242,,,225566900001,3018574905886,0,2,2,0,1,0,0,0,0,0,0,0,0,2255669,0.2,9
243,,,30185749,3018574900001,1,1,5,1,0,0,0,1,1,0,0,0,1,30185749,1,6
244,,,2008967600002,3018574915014,0,2,3,0,0,0,0,0,0,1,0,0,0,20089676,0.3,6
245,,,20063275,2006327500002,1,1,5,1,0,0,0,0,0,0,0,0,1,20063275,1,10
246,,,2005965100001,2005965100003,1,1,5,1,0,0,0,0,0,0,0,0,1,20059651,1,10
247,,,2005987400003,20059874,1,1,5,1,0,0,0,1,0,0,1,0,1,20059874,1,6
248,,,167620700002,3018574905767,1,3,4,0,0,0,0,0,0,0,1,0,0,1676207,0.9,14
249,,,20035877,3018574901666,0,2,2,0,0,0,0,0,1,0,0,0,0,20035877,0.2,2
250,,,2325729,3018574900618,1,2,2,0,1,0,0,0,0,0,0,0,0,2325729,0.7,11
251,,,2009014400004,3018574915291,0,1,4,0,0,1,0,0,0,0,0,0,0,20090144,0.4,7
252,,,2009012100003,3018574915179,0,1,5,0,0,1,0,0,0,0,0,0,0,20090121,0.5,7
253,,,20036340,3018574901724,1,4,4,1,0,0,0,0,0,0,0,0,0,20036340,0.9,14
254,,,2003492900002,2003492900001,1,1,4,1,0,0,0,0,0,0,0,0,1,20034929,0.9,0
255,,,2005759000001,3018574910875,1,4,2,0,1,0,0,0,0,0,0,0,0,20057590,0.7,11
256,,,2005639900001,2005639900002,1,1,5,1,0,0,0,0,0,0,0,0,1,20056399,1,10
257,,,2003742300001,3018574909626,0,4,4,1,0,0,0,0,0,0,0,0,0,20037423,0.4,1
258,,,619207600001,3018574907028,1,2,4,0,0,0,0,0,1,0,0,0,0,6192076,0.9,2
259,,,20060159,2006015900001,0,1,3,1,0,0,0,0,0,0,0,0,1,20060159,0.3,0
260,,,20057505,3018574902178,1,2,3,0,0,0,0,0,0,0,1,0,0,20057505,0.8,14
261,,,120537,12053700001,1,1,4,1,0,0,0,0,0,0,0,0,1,120537,0.9,0
262,,,5245419,3018574900784,0,3,3,0,0,0,0,0,0,0,1,0,0,5245419,0.3,1
263,,,2003633800001,20036338,1,1,5,1,0,0,0,1,0,0,1,0,1,20036338,1,6
264,,,2007301700002,3018574914471,1,1,4,0,0,1,0,0,0,0,0,0,0,20073017,0.9,12
265,,,2006674700003,3018574913746,1,1,5,0,0,1,0,0,0,0,0,0,0,20066747,1,3
266,,,2006403800003,3018574913210,1,3,5,1,0,0,0,0,0,0,0,0,0,20064038,1,14
267,,,2003336700002,3018574908434,0,5,1,0,0,0,0,1,0,0,0,0,0,20033367,0.1,6
268,,,856990800003,8569908,1,1,4,1,0,0,0,0,0,0,0,0,1,8569908,0.9,0
269,,,2003634000003,2003634000004,1,1,5,1,0,0,0,0,0,0,0,0,1,20036340,1,10
270,,,20062027,3018574902772,1,4,4,0,0,0,0,0,0,0,1,0,0,20062027,0.9,14
271,,,20064084,3018574903111,1,3,3,1,0,0,0,0,0,0,0,0,0,20064084,0.8,14
272,,,20057015,3018574902117,1,3,4,1,0,0,0,0,0,0,0,0,0,20057015,0.9,14
273,,,555998000003,3018574906802,1,2,3,0,0,1,0,0,0,0,0,0,0,5559980,0.8,8
274,,,1000257000001,3018574907964,1,1,2,0,1,0,0,0,0,0,0,0,0,10002570,0.7,11
275,,,614197900004,3018574907006,0,1,3,0,0,0,0,0,0,0,1,0,0,6141979,0.3,1
276,,,20086455,3018574903608,0,5,2,0,0,0,0,0,0,0,1,0,0,20086455,0.2,1
277,,,7737833,3018574900955,0,1,2,0,0,1,0,0,0,0,0,0,0,7737833,0,8
278,,,935264200001,3018574907653,1,4,5,0,0,0,0,0,0,0,1,0,0,9352642,1,14
279,,,2003346300003,2003346300002,1,1,4,1,0,0,0,0,0,0,0,0,1,20033463,0.9,0
280,,,3491228,3018574900691,1,2,1,0,1,0,0,0,0,0,0,0,0,3491228,0.6,11
281,,,20059570,3018574902569,0,3,4,0,0,1,0,0,0,0,0,0,0,20059570,0.4,7
282,,,20064059,3018574903096,0,3,3,1,0,0,0,0,0,0,0,0,0,20064059,0.3,1
283,,,2003332500002,3018574908296,1,3,5,0,0,0,0,0,1,0,0,0,0,20033325,1,2
284,,,304229000003,3018574906301,0,1,5,0,0,1,0,0,0,0,0,0,0,3042290,0.5,7
285,,,2006321000002,3018574912801,1,3,1,0,0,0,0,0,0,0,1,0,0,20063210,0.6,14
286,,,2005826800001,3018574911112,0,5,1,0,0,0,0,0,0,0,1,0,0,20058268,0.1,5
287,,,20056616,2005661600001,1,1,5,1,0,0,0,0,0,0,0,0,1,20056616,1,10
288,,,2003361400002,3018574908772,0,3,1,0,0,0,0,0,0,0,1,0,0,20033614,0.1,4
289,,,18014700002,3018574904382,0,3,2,0,0,1,0,0,0,0,0,0,0,180147,0.2,8
290,,,2006311600001,3018574912765,1,1,5,0,1,0,0,0,0,0,0,0,0,20063116,1,11
291,,,2003634400002,3018574909592,1,3,4,0,0,0,0,0,0,0,1,0,0,20036344,0.9,14
292,,,20058682,2005868200001,1,1,5,1,0,0,0,0,0,0,0,0,1,20058682,1,10
293,,,20064038,3018574903094,0,4,2,0,0,0,0,0,0,0,1,0,0,20064038,0.2,1
294,,,2007382000001,3018574914550,1,1,5,0,1,0,0,0,0,0,0,0,0,20073820,1,11
295,,,143220600002,3018574905673,1,2,4,0,0,0,0,0,0,0,1,0,0,1432206,0.9,14
296,,,2006260500005,2006260500004,1,1,5,1,0,0,0,0,0,0,0,0,1,20062605,1,10
297,,,2009163500003,3018574915426,0,1,4,0,0,1,0,0,0,0,0,0,0,20091635,0.4,7
298,,,2008949600003,3018574914985,1,4,1,0,0,0,0,0,0,0,1,0,0,20089496,0.6,14
299,,,2005701500004,3018574910665,1,4,3,0,0,0,0,0,0,0,1,0,0,20057015,0.8,14
300,,,2009163500001,3018574915359,0,1,4,0,1,0,0,0,0,0,0,0,0,20091635,0.4,11
301,,,25523000004,25523000003,1,1,4,1,0,0,0,0,0,0,0,0,1,255230,0.9,0
302,,,2006944500001,3018574914083,1,4,5,0,0,0,0,0,1,0,0,0,0,20069445,1,2
303,,,2003378300002,3018574908870,1,1,5,0,0,1,0,0,0,0,0,0,0,20033783,1,3
304,,,4793,3018574900016,1,3,4,0,0,0,0,0,1,0,0,0,0,4793,0.9,2
305,,,2006674700003,3018574913768,0,1,3,0,0,1,0,0,0,0,0,0,0,20066747,0.3,8
306,,,247079800003,3018574906149,1,1,4,0,0,1,0,0,0,0,0,0,0,2470798,0.9,12
307,,,20064902,2006490200002,1,1,5,1,0,0,0,0,0,0,0,0,1,20064902,1,10
